IP,CCode,IsExit,IsGuard,Consensus(KB/s),Rate(KiB/s),Burst(KiB/s),MaxObserved(KiB/s),MaxRead(KiB/s),MaxWrite(KiB/s),LinkDown(KiB/s),LinkUp(KiB/s),Load(KiB/s)
93.115.95.206,RO,True,True,88,0,0,0,0,0,88400,88400,0
185.100.85.190,RO,True,True,51,0,0,0,0,0,51000,51000,0
178.32.181.99,FR,True,True,32,0,0,0,0,0,32900,32900,0
37.187.7.74,FR,True,True,24,0,0,0,0,0,24000,24000,0
5.196.66.162,FR,True,True,20,0,0,0,0,0,20100,20100,0
151.80.164.147,FR,True,True,18,0,0,0,0,0,18200,18200,0
216.17.99.183,US,True,True,15,0,0,0,0,0,15200,15200,0
213.61.149.125,DE,True,True,13,0,0,0,0,0,13700,13700,0
107.181.178.204,US,True,True,11,0,0,0,0,0,11300,11300,0
104.233.108.86,CA,True,True,9,0,0,0,0,0,9380,9380,0
216.218.134.12,US,True,True,7,0,0,0,0,0,7520,7520,0
185.34.33.2,FR,True,True,6,0,0,0,0,0,6140,6140,0
217.115.10.131,DE,True,True,5,0,0,0,0,0,5280,5280,0
158.69.172.225,US,True,True,3,0,0,0,0,0,3980,3980,0
171.25.193.20,SE,True,True,2,0,0,0,0,0,2950,2950,0
217.23.7.25,NL,True,True,1,0,0,0,0,0,1910,1910,0
46.101.186.153,DE,False,True,47,0,0,0,0,0,47300,47300,0
178.16.208.55,SE,False,True,41,0,0,0,0,0,41400,41400,0
37.200.98.5,DE,False,True,36,0,0,0,0,0,36200,36200,0
91.237.88.103,DE,False,True,32,0,0,0,0,0,32100,32100,0
185.15.244.234,DE,False,True,30,0,0,0,0,0,30500,30500,0
149.202.62.49,FR,False,True,28,0,0,0,0,0,28100,28100,0
51.254.120.82,FR,False,True,26,0,0,0,0,0,26400,26400,0
176.9.99.134,DE,False,True,25,0,0,0,0,0,25500,25500,0
37.230.119.37,RU,False,True,24,0,0,0,0,0,24400,24400,0
188.166.16.91,NL,False,True,23,0,0,0,0,0,23600,23600,0
159.203.97.91,US,False,True,22,0,0,0,0,0,22500,22500,0
78.46.183.39,DE,False,True,21,0,0,0,0,0,21300,21300,0
62.210.105.47,FR,False,True,20,0,0,0,0,0,20700,20700,0
192.34.63.137,US,False,True,19,0,0,0,0,0,19700,19700,0
104.131.73.86,US,False,True,19,0,0,0,0,0,19000,19000,0
89.36.208.96,RO,False,True,18,0,0,0,0,0,18000,18000,0
76.10.212.27,US,False,True,17,0,0,0,0,0,17400,17400,0
185.66.250.141,NL,False,True,16,0,0,0,0,0,16700,16700,0
178.62.86.96,GB,False,True,16,0,0,0,0,0,16100,16100,0
91.226.89.17,DE,False,True,15,0,0,0,0,0,15500,15500,0
195.154.162.172,FR,False,True,15,0,0,0,0,0,15200,15200,0
217.12.199.208,UA,False,True,14,0,0,0,0,0,14700,14700,0
141.20.103.25,DE,False,True,14,0,0,0,0,0,14300,14300,0
46.101.252.29,DE,False,True,13,0,0,0,0,0,13900,13900,0
188.165.204.117,FR,False,True,13,0,0,0,0,0,13400,13400,0
212.47.240.167,FR,False,True,13,0,0,0,0,0,13100,13100,0
212.47.234.192,FR,False,True,12,0,0,0,0,0,12700,12700,0
195.154.42.101,FR,False,True,12,0,0,0,0,0,12000,12000,0
148.251.214.53,DE,False,True,11,0,0,0,0,0,11700,11700,0
212.47.249.63,FR,False,True,11,0,0,0,0,0,11400,11400,0
217.23.15.200,NL,False,True,11,0,0,0,0,0,11000,11000,0
91.121.76.204,FR,False,True,10,0,0,0,0,0,10700,10700,0
212.83.177.193,FR,False,True,10,0,0,0,0,0,10300,10300,0
37.157.194.180,CZ,False,True,9,0,0,0,0,0,9890,9890,0
212.47.246.13,FR,False,True,9,0,0,0,0,0,9480,9480,0
78.47.39.60,DE,False,True,9,0,0,0,0,0,9140,9140,0
195.154.42.18,FR,False,True,8,0,0,0,0,0,8730,8730,0
5.39.80.28,FR,False,True,8,0,0,0,0,0,8360,8360,0
216.210.71.4,US,False,True,8,0,0,0,0,0,8130,8130,0
109.228.158.78,SE,False,True,7,0,0,0,0,0,7830,7830,0
178.254.6.21,DE,False,True,7,0,0,0,0,0,7460,7460,0
5.175.233.86,DE,False,True,7,0,0,0,0,0,7180,7180,0
31.31.74.47,CZ,False,True,6,0,0,0,0,0,6890,6890,0
216.230.230.247,US,False,True,6,0,0,0,0,0,6680,6680,0
192.99.246.101,CA,False,True,6,0,0,0,0,0,6540,6540,0
45.55.42.180,US,False,True,6,0,0,0,0,0,6320,6320,0
212.47.248.68,FR,False,True,6,0,0,0,0,0,6120,6120,0
213.136.81.89,DE,False,True,5,0,0,0,0,0,5850,5850,0
5.79.100.189,NL,False,True,5,0,0,0,0,0,5600,5600,0
178.63.78.8,DE,False,True,5,0,0,0,0,0,5450,5450,0
37.187.123.121,FR,False,True,5,0,0,0,0,0,5270,5270,0
185.60.146.245,CH,False,True,5,0,0,0,0,0,5090,5090,0
86.107.110.51,RO,False,True,4,0,0,0,0,0,4860,4860,0
192.99.33.158,CA,False,True,4,0,0,0,0,0,4680,4680,0
207.244.65.165,US,False,True,4,0,0,0,0,0,4440,4440,0
81.4.103.3,NL,False,True,4,0,0,0,0,0,4240,4240,0
170.75.162.81,CA,False,True,4,0,0,0,0,0,4030,4030,0
93.91.50.145,CZ,False,True,3,0,0,0,0,0,3860,3860,0
95.141.37.22,IT,False,True,3,0,0,0,0,0,3720,3720,0
195.169.207.54,NL,False,True,3,0,0,0,0,0,3550,3550,0
209.180.247.49,US,False,True,3,0,0,0,0,0,3420,3420,0
185.8.237.199,CZ,False,True,3,0,0,0,0,0,3310,3310,0
81.169.138.51,DE,False,True,3,0,0,0,0,0,3120,3120,0
62.210.243.198,FR,False,True,2,0,0,0,0,0,2940,2940,0
24.44.132.124,US,False,True,2,0,0,0,0,0,2770,2770,0
141.255.161.166,CH,False,True,2,0,0,0,0,0,2540,2540,0
98.225.154.183,US,False,True,2,0,0,0,0,0,2330,2330,0
217.23.11.138,NL,False,True,1,0,0,0,0,0,1990,1990,0
108.61.119.75,US,False,True,1,0,0,0,0,0,1430,1430,0
5.141.168.43,RU,True,False,18,0,0,0,0,0,18500,18500,0
204.13.164.54,US,True,False,6,0,0,0,0,0,6510,6510,0
2.111.70.28,DK,True,False,3,0,0,0,0,0,3200,3200,0
82.221.129.96,IS,True,False,2,0,0,0,0,0,2100,2100,0
82.211.19.129,DE,True,False,1,0,0,0,0,0,1670,1670,0
93.113.36.242,RO,True,False,1,0,0,0,0,0,1330,1330,0
37.59.97.134,FR,True,False,1,0,0,0,0,0,1160,1160,0
209.141.43.84,US,True,False,0,0,0,0,0,0,910,910,0
80.241.60.207,DE,True,False,0,0,0,0,0,0,679,679,0
185.86.148.17,SE,True,False,0,0,0,0,0,0,548,548,0
106.186.28.33,JP,True,False,0,0,0,0,0,0,433,433,0
